2026-08-24 14:10:47 DEBUG    [SA_03] PREPARE_ITEM #0
2026-08-24 14:10:47 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'top', 'content': 'phrase_text'}
2026-08-24 14:10:47 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'phrase_text'}
2026-08-24 14:10:47 DEBUG    [SA_03] TEXT PLAY
2026-08-24 14:10:49 DEBUG    [SA_03] TEXT_END
2026-08-24 14:10:50 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_before_translation'}
2026-08-24 14:10:50 DEBUG    [SA_03] Checkbox: randomize = True
2026-08-24 14:10:50 DEBUG    [SA_03] PAUSE_END
2026-08-24 14:10:50 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'bottom', 'content': 'translate_text'}
2026-08-24 14:10:50 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'translate_text'}
2026-08-24 14:10:50 DEBUG    [SA_03] TRANSLATION PLAY
2026-08-24 14:10:53 DEBUG    [SA_03] TRANSLATION_END
2026-08-24 14:10:53 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_between_sentences'}
2026-08-24 14:10:55 DEBUG    [SA_03] PAUSE_END
2026-08-24 14:10:55 DEBUG    [SA_03] ACTION: {'action': 'HIDE', 'target': 'top'}
2026-08-24 14:10:55 DEBUG    [SA_03] ACTION: {'action': 'HIDE', 'target': 'bottom'}
2026-08-24 14:10:55 INFO     [SA_03] SCENARIO FINISHED
2026-08-24 14:10:55 DEBUG    [SA_03] FINISH_ITEM: repeat 1/1
2026-08-24 14:10:55 DEBUG    [SA_03] RANDOMIZE: next random item
2026-08-24 14:10:55 DEBUG    [SA_03] PREPARE_ITEM #0
2026-08-24 14:10:55 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'top', 'content': 'phrase_text'}
2026-08-24 14:10:55 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'phrase_text'}
2026-08-24 14:10:55 DEBUG    [SA_03] TEXT PLAY
2026-08-24 14:10:56 DEBUG    [SA_03] Checkbox: loop = True
2026-08-24 14:10:57 DEBUG    [SA_03] Checkbox: randomize = False
2026-08-24 14:10:58 DEBUG    [SA_03] TEXT_END
2026-08-24 14:10:58 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_before_translation'}
2026-08-24 14:10:59 DEBUG    [SA_03] PAUSE_END
2026-08-24 14:10:59 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'bottom', 'content': 'translate_text'}
2026-08-24 14:10:59 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'translate_text'}
2026-08-24 14:10:59 DEBUG    [SA_03] TRANSLATION PLAY
2026-08-24 14:11:01 DEBUG    [SA_03] TRANSLATION_END
2026-08-24 14:11:01 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_between_sentences'}
2026-08-24 14:11:03 DEBUG    [SA_03] PAUSE_END
2026-08-24 14:11:03 DEBUG    [SA_03] ACTION: {'action': 'HIDE', 'target': 'top'}
2026-08-24 14:11:03 DEBUG    [SA_03] ACTION: {'action': 'HIDE', 'target': 'bottom'}
2026-08-24 14:11:03 INFO     [SA_03] SCENARIO FINISHED
2026-08-24 14:11:03 DEBUG    [SA_03] LOOP: repeat current item
2026-08-24 14:11:03 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'top', 'content': 'phrase_text'}
2026-08-24 14:11:03 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'phrase_text'}
2026-08-24 14:11:03 DEBUG    [SA_03] TEXT PLAY
2026-08-24 14:11:06 DEBUG    [SA_03] TEXT_END
2026-08-24 14:11:06 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_before_translation'}
2026-08-24 14:11:07 DEBUG    [SA_03] PAUSE_END
2026-08-24 14:11:07 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'bottom', 'content': 'translate_text'}
2026-08-24 14:11:07 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'translate_text'}
2026-08-24 14:11:07 DEBUG    [SA_03] TRANSLATION PLAY
2026-08-24 14:11:07 DEBUG    [SA_03] Checkbox: loop = False
2026-08-24 14:11:09 DEBUG    [SA_03] TRANSLATION_END
2026-08-24 14:11:09 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_between_sentences'}
2026-08-24 14:11:11 DEBUG    [SA_03] PAUSE_END
2026-08-24 14:11:11 DEBUG    [SA_03] ACTION: {'action': 'HIDE', 'target': 'top'}
2026-08-24 14:11:11 DEBUG    [SA_03] ACTION: {'action': 'HIDE', 'target': 'bottom'}
2026-08-24 14:11:11 INFO     [SA_03] SCENARIO FINISHED
2026-08-24 14:11:11 DEBUG    [SA_03] FINISH_ITEM: repeat 1/1
2026-08-24 14:11:11 DEBUG    [SA_03] PREPARE_ITEM #1
2026-08-24 14:11:11 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'top', 'content': 'phrase_text'}
2026-08-24 14:11:11 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'phrase_text'}
2026-08-24 14:11:11 DEBUG    [SA_03] TEXT PLAY
2026-08-24 14:11:14 DEBUG    [SA_03] Checkbox: randomize = True
2026-08-24 14:11:14 DEBUG    [SA_03] TEXT_END
2026-08-24 14:11:14 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_before_translation'}
2026-08-24 14:11:15 DEBUG    [SA_03] PAUSE_END
2026-08-24 14:11:15 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'bottom', 'content': 'translate_text'}
2026-08-24 14:11:15 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'translate_text'}
2026-08-24 14:11:15 DEBUG    [SA_03] TRANSLATION PLAY
2026-08-24 14:11:18 DEBUG    [SA_03] TRANSLATION_END
2026-08-24 14:11:18 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_between_sentences'}
2026-08-24 14:11:20 DEBUG    [SA_03] PAUSE_END
2026-08-24 14:11:20 DEBUG    [SA_03] ACTION: {'action': 'HIDE', 'target': 'top'}
2026-08-24 14:11:20 DEBUG    [SA_03] ACTION: {'action': 'HIDE', 'target': 'bottom'}
2026-08-24 14:11:20 INFO     [SA_03] SCENARIO FINISHED
2026-08-24 14:11:20 DEBUG    [SA_03] FINISH_ITEM: repeat 1/1
2026-08-24 14:11:20 DEBUG    [SA_03] RANDOMIZE: next random item
2026-08-24 14:11:20 DEBUG    [SA_03] PREPARE_ITEM #1
2026-08-24 14:11:20 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'top', 'content': 'phrase_text'}
2026-08-24 14:11:20 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'phrase_text'}
2026-08-24 14:11:20 DEBUG    [SA_03] TEXT PLAY
2026-08-24 14:11:23 DEBUG    [SA_03] TEXT_END
2026-08-24 14:11:23 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_before_translation'}
2026-08-24 14:11:24 DEBUG    [SA_03] PAUSE_END
2026-08-24 14:11:24 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'bottom', 'content': 'translate_text'}
2026-08-24 14:11:24 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'translate_text'}
2026-08-24 14:11:24 DEBUG    [SA_03] TRANSLATION PLAY
2026-08-24 14:11:26 DEBUG    [SA_03] TRANSLATION_END
2026-08-24 14:11:26 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_between_sentences'}
2026-08-24 14:11:28 DEBUG    [SA_03] PAUSE_END
2026-08-24 14:11:28 DEBUG    [SA_03] ACTION: {'action': 'HIDE', 'target': 'top'}
2026-08-24 14:11:28 DEBUG    [SA_03] ACTION: {'action': 'HIDE', 'target': 'bottom'}
2026-08-24 14:11:28 INFO     [SA_03] SCENARIO FINISHED
2026-08-24 14:11:28 DEBUG    [SA_03] FINISH_ITEM: repeat 1/1
2026-08-24 14:11:28 DEBUG    [SA_03] RANDOMIZE: next random item
2026-08-24 14:11:28 DEBUG    [SA_03] PREPARE_ITEM #0
2026-08-24 14:11:28 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'top', 'content': 'phrase_text'}
2026-08-24 14:11:28 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'phrase_text'}
2026-08-24 14:11:28 DEBUG    [SA_03] TEXT PLAY
2026-08-24 14:11:31 DEBUG    [SA_03] TEXT_END
2026-08-24 14:11:31 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_before_translation'}
2026-08-24 14:11:32 DEBUG    [SA_03] PAUSE_END
2026-08-24 14:11:32 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'bottom', 'content': 'translate_text'}
2026-08-24 14:11:32 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'translate_text'}
2026-08-24 14:11:32 DEBUG    [SA_03] TRANSLATION PLAY
2026-08-24 14:11:34 DEBUG    [SA_03] TRANSLATION_END
2026-08-24 14:11:34 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_between_sentences'}
2026-08-24 14:11:36 DEBUG    [SA_03] PAUSE_END
2026-08-24 14:11:36 DEBUG    [SA_03] ACTION: {'action': 'HIDE', 'target': 'top'}
2026-08-24 14:11:36 DEBUG    [SA_03] ACTION: {'action': 'HIDE', 'target': 'bottom'}
2026-08-24 14:11:36 INFO     [SA_03] SCENARIO FINISHED
2026-08-24 14:11:36 DEBUG    [SA_03] FINISH_ITEM: repeat 1/1
2026-08-24 14:11:36 DEBUG    [SA_03] RANDOMIZE: next random item
2026-08-24 14:11:36 DEBUG    [SA_03] PREPARE_ITEM #1
2026-08-24 14:11:36 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'top', 'content': 'phrase_text'}
2026-08-24 14:11:36 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'phrase_text'}
2026-08-24 14:11:36 DEBUG    [SA_03] TEXT PLAY
2026-08-24 14:11:39 DEBUG    [SA_03] Button: pause
2026-08-24 14:11:42 DEBUG    [SA_03] Button: next
2026-08-24 14:11:43 DEBUG    [SA_03] Button: last
2026-08-24 14:11:45 DEBUG    [SA_03] Button: first
2026-08-24 14:11:46 DEBUG    [SA_03] Button: stop
2026-08-24 14:11:47 DEBUG    [SA_03] Button: play
2026-08-24 14:11:47 DEBUG    [SA_03] PREPARE_ITEM #0
2026-08-24 14:11:47 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'top', 'content': 'phrase_text'}
2026-08-24 14:11:47 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'phrase_text'}
2026-08-24 14:11:47 DEBUG    [SA_03] TEXT PLAY
2026-08-24 14:11:48 DEBUG    [SA_03] Button: play
2026-08-24 14:11:48 DEBUG    [SA_03] PREPARE_ITEM #0
2026-08-24 14:11:48 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'top', 'content': 'phrase_text'}
2026-08-24 14:11:48 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'phrase_text'}
2026-08-24 14:11:48 DEBUG    [SA_03] TEXT PLAY
2026-08-24 14:11:50 DEBUG    [SA_03] TEXT_END
2026-08-24 14:11:50 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_before_translation'}
2026-08-24 14:11:50 INFO     [SA_03] Finsh Application
